ID_BIEN;NO_VOIE;ADR_COMPL;TYPE_VOIE;VOIE;SURF_CARREZ;SURF_RB;SURF_TERRAIN;TYPE_LOCAL;TOT_PIECES;ID_COM
1;NULL;;RES;L OURS BLANC;24.8;26;NULL;Appartement;2;1098
2;NULL;;VGE;ARTS ET VIE;51.89;56;NULL;Appartement;4;878
3;NULL;;RES;LES CHARMILLES;33.49;32;NULL;Appartement;1;346
4;NULL;;RES;LA TOVIERE;30;31;NULL;Appartement;1;99
5;NULL;;RUE;DU VIEUX VILLAGE CARNON;46.27;43;NULL;Appartement;3;891
6;NULL;;;LES PARQUETS;68.8;54;NULL;Appartement;2;3074
7;NULL;;AV;BIOCHAUD;32.77;32;NULL;Appartement;2;2729
8;NULL;;ALL;DES JACINTHES;65.08;65;NULL;Appartement;3;1674
9;NULL;;;LOUSTEAUNEUF;33.09;33;NULL;Appartement;2;881
10;NULL;;QUAI;DE LA PECHERIE;19.65;20;NULL;Appartement;1;1175
11;NULL;;RES;LES ARGONAUTES;22.63;23;NULL;Appartement;1;370
12;NULL;;RES;LES COLLINES DU RICANTO;43.87;44;NULL;Appartement;2;619
13;NULL;;AV;DES BALEINIERS;67.37;67;NULL;Maison;3;368
14;NULL;;AV;ALFRED ANATOLE THEVENET;67.5;67;NULL;Appartement;3;1501
15;NULL;;;LA HAIE GRISELLE;67.48;67;NULL;Appartement;3;3045
16;NULL;;RES;LES COLLINES DU RICANTO;50.73;51;NULL;Appartement;2;619
17;NULL;;ALL;DES ARCADES;65.04;65;NULL;Appartement;3;450
18;NULL;;;L OLIVINE;23.15;25;NULL;Appartement;2;2623
19;NULL;;RUE;PIERRE CURIE;23.05;23;NULL;Appartement;1;3124
20;NULL;;;LES HOUCHES;93.02;92;NULL;Appartement;3;2183
21;NULL;;;LAGASSE;75.75;77;NULL;Appartement;4;868
22;NULL;;RES;PORT VAUBAN;29.81;29;NULL;Appartement;2;902
23;NULL;;RTE;DE LA NASSE;44.3;44;NULL;Appartement;2;1186
24;NULL;;;LAGASSE;41.62;42;NULL;Appartement;2;868
25;NULL;;RES;CARRE BODICCIONE;71.02;66;NULL;Appartement;3;619
26;NULL;;RES;LA BERANGERE;32.84;33;NULL;Appartement;1;99
27;NULL;;RUE;DU MARECHAL JUIN;50.17;50;NULL;Appartement;2;616
28;NULL;;;LES SAVELS;36.08;36;NULL;Appartement;2;2623
29;NULL;;RUE;PARMENTIER;41.75;45;NULL;Appartement;3;3073
30;NULL;;RES;LES BOSQUETS II;30.36;31;NULL;Appartement;2;2716
31;NULL;;LOT;LES VILLAGEOISES;40.2;33;NULL;Maison;3;911
