ID_COM;CODPOS;COM;ID_REG;ID_POP
1;1370;SAINT-ETIENNE-DU-BOIS;1;01350
2;1170;CHEVRY;1;01103
3;1220;DIVONNE-LES-BAINS;1;01143
4;1630;PERON;1;01288
5;1200;VALSERHONE;1;01033
6;1350;CULOZ;1;01138
7;1630;ST-GENIS-POUILLY;1;01354
8;1100;OYONNAX;1;01283
9;1130;ST-GERMAIN-DE-JOUX;1;01357
10;1170;GEX;1;01173
11;1500;AMBERIEU-EN-BUGEY;1;01004
12;1170;CESSY;1;01071
13;1150;SAULT-BRENAZ;1;01396
14;1210;FERNEY-VOLTAIRE;1;01160
15;1170;SEGNY;1;01399
16;1150;LAGNIEU;1;01202
17;1130;LE POIZAT-LALLEYRIAT;1;01204
18;1300;BELLEY;1;01034
19;1210;ORNEX;1;01281
20;1590;DORTAN;1;01148
21;1280;PREVESSIN-MOENS;1;01313
22;1110;BRENOD;1;01060
23;1640;SAINT-JEAN-LE-VIEUX;1;01363
24;1130;NANTUA;1;01269
25;1500;SAINT-DENIS-EN-BUGEY;1;01345
26;1710;THOIRY;1;01419
27;1100;BELLIGNAT;1;01031
28;1110;PLATEAU D'HAUTEVILLE;1;01185
29;1410;LELEX;1;01210
30;1170;VESANCY;1;01436
31;1580;IZERNORE;1;01192
32;1170;ECHENEVEX;1;01153
33;1210;VERSONNEX;1;01435
34;1150;SAINT-VULBAS;1;01390
35;1550;COLLONGES;1;01109
36;1260;CHAMPAGNE-EN-VALROMEY;1;01079
37;1640;JUJURIEUX;1;01199
38;1580;MATAFELON-GRANGES;1;01240
39;1260;HAUT-VALROMEY;1;01187
40;1100;ARBENT;1;01014
41;1360;LOYETTES;1;01224
42;1410;MIJOUX;1;01247
43;1630;SERGY;1;01401
44;1550;FARGES;1;01158
45;1170;CROZET;1;01135
46;1330;VILLARS-LES-DOMBES;1;01443
47;1800;MEXIMIEUX;1;01244
48;1090;MONTCEAUX;1;01258
49;1120;MONTLUEL;1;01262
50;1480;JASSANS-RIOTTIER;1;01194
51;1480;BEAUREGARD;1;01030
52;1120;DAGNEUX;1;01142
53;1390;MIONNAY;1;01248
54;1800;VILLIEU-LOYES-MOLLON;1;01450
55;2300;CHAUNY;2;02173
56;2000;LAON;2;02408
57;2800;LA FERE;2;02304
58;2000;URCEL;2;02755
59;2410;SAINT GOBAIN;2;02680
60;2700;TERGNIER;2;02738
61;2670;FOLEMBRAY;2;02318
62;2100;SAINT QUENTIN;2;02691
63;2200;SOISSONS;2;02722
64;2200;COURMELLES;2;02226
65;2290;VIC SUR AISNE;2;02795
66;2600;VILLERS-COTTERETS;2;02810
67;2600;LARGNY SUR AUTOMNE;2;02410
68;2880;NANTEUIL LA FOSSE;2;02537
69;2370;VAILLY-SUR-AISNE;2;02758
70;2600;COEUVRES ET VALSERY;2;02201
71;2200;BELLEU;2;02064
72;2400;CHATEAU THIERRY;2;02168
73;2130;FERE EN TARDENOIS;2;02305
74;3000;MOULINS;3;03190
75;3400;YZEURE;3;03321
76;3300;CUSSET;3;03095
77;3200;VICHY;3;03310
78;4200;SISTERON;4;04209
79;4500;RIEZ;4;04166
80;4400;ENCHASTRAYES;4;04073
81;4160;CHATEAU-ARNOUX-SAINT-AUBAN;4;04049
82;4000;DIGNE-LES-BAINS;4;04070
83;4140;MONTCLAR;4;04126
84;4260;ALLOS;4;04006
85;4120;CASTELLANE;4;04039
86;4850;JAUSIERS;4;04096
87;4340;LE LAUZET UBAYE;4;04102
88;4140;SEYNE;4;04205
89;4500;SAINTE CROIX DU VERDON;4;04176
90;4400;FAUCON-DE-BARCELONNETTE;4;04086
91;4400;BARCELONNETTE;4;04019
92;4800;GREOUX-LES-BAINS;4;04094
93;4800;SAINT-MARTIN-DE-BROMES;4;04189
