ID_POP;ANNEE;POP;NAIS;DECES
01350;2019;2542;27;15
01103;2019;2149;32;2
01004;2019;14134;220;158
01143;2019;9951;79;53
01288;2019;2717;31;4
01033;2019;16378;213;117
01138;2019;3004;37;25
01354;2019;13943;164;33
01283;2019;22456;276;201
01357;2019;502;4;3
01173;2019;13121;188;70
01071;2019;4808;61;9
01014;2019;3349;30;15
01396;2019;977;11;9
01160;2019;10026;95;28
01399;2019;2107;21;7
01202;2019;7161;83;57
01204;2019;735;5;4
01034;2019;9182;85;119
01281;2019;4483;44;23
01148;2019;1879;13;15
01313;2019;8711;83;16
01060;2019;493;1;6
01363;2019;1772;23;12
01269;2019;3454;42;60
01345;2019;2266;18;14
01419;2019;6021;64;17
01030;2019;829;11;2
01031;2019;3652;30;15
01185;2019;4844;29;77
01210;2019;228;1;2
01436;2019;481;2;1
01192;2019;2277;15;9
01153;2019;2115;14;7
01435;2019;2157;16;2
01390;2019;1246;10;23
01109;2019;2226;20;8
01079;2019;811;5;38
01199;2019;2137;25;30
01240;2019;627;3;3
01187;2019;618;7;9
01224;2019;3225;42;17
01247;2019;312;4;2
01401;2019;2167;17;10
01158;2019;1048;6;1
01135;2019;2171;22;12
01443;2019;4978;58;70
01244;2019;7923;93;58
01258;2019;1190;8;5
01262;2019;6886;92;56
01194;2019;6346;72;50
01142;2019;4777;43;20
01248;2019;2197;30;8
01450;2019;3717;38;18
02173;2019;11653;124;155
02408;2019;24304;324;261
02304;2019;2838;42;62
02755;2019;589;7;4
02680;2019;2294;14;63
02738;2019;13588;145;128
02318;2019;1381;14;14
02691;2019;53570;638;681
02722;2019;28712;327;314
02226;2019;1863;11;13
02795;2019;1618;22;26
02810;2019;10424;136;103
02410;2019;244;7;3
02537;2019;202;2;1
02758;2019;2012;24;28
02201;2019;441;6;29
02064;2019;3832;21;98
02168;2019;15254;213;196
02305;2019;3001;25;50
03190;2019;19246;204;257
03321;2019;12838;105;154
03095;2019;12474;114;174
03310;2019;24980;240;411
